date,farm_id,weight
2020-1-3,Farm 34,2895
2020-1-3,Farm 35,16654
2020-1-3,Farm 37,6706
2020-1-3,Farm 38,17578
2020-1-3,Farm 39,2320
2020-1-3,Farm 40,16129
2020-1-3,Farm 41,17719
2020-1-3,Farm 42,16303
2020-1-3,Farm 43,2897
2020-1-3,Farm 45,9272
2020-1-3,Farm 46,10043
2020-1-3,Farm 47,10947
2020-1-3,Farm 48,3137
2020-1-3,Farm 50,17461
2020-1-3,Farm 51,6311
2020-1-3,Farm 52,6838
2020-1-3,Farm 53,10577
2020-1-3,Farm 54,8160
2020-1-3,Farm 55,16900
2020-1-3,Farm 57,6792
2020-1-3,Farm 58,17712
2020-1-3,Farm 59,17142
2020-1-3,Farm 60,8725
2020-1-3,Farm 61,17550
2020-1-3,Farm 62,9465
2020-1-3,Farm 63,17304
2020-1-3,Farm 64,16857
2020-1-3,Farm 65,6286
2020-1-3,Farm 67,16920
2020-1-3,Farm 68,10177
2020-1-3,Farm 69,8880
2020-1-3,Farm 70,3431
2020-1-3,Farm 71,11209
2020-1-3,Farm 72,17902
2020-1-3,Farm 73,2637
2020-1-3,Farm 74,6672
2020-1-3,Farm 75,7575
2020-1-3,Farm 76,3756
2020-1-3,Farm 77,10203
2020-1-3,Farm 78,8438
2020-1-3,Farm 80,8445
2020-1-3,Farm 81,10942
2020-1-3,Farm 82,3138
2020-1-3,Farm 83,8149
2020-1-3,Farm 84,2186
2020-1-3,Farm 85,9602
2020-1-3,Farm 86,2642
2020-1-3,Farm 89,3649
2020-1-3,Farm 90,16175
2020-1-3,Farm 91,9053
2020-1-3,Farm 92,3491
2020-1-3,Farm 93,17166
2020-1-3,Farm 94,3396
2020-1-3,Farm 97,3673
2020-1-3,Farm 98,16621
2020-1-3,Farm 99,11824
2020-1-3,Farm 100,8852
2020-1-3,Farm 101,7596
2020-1-3,Farm 102,17265
2020-1-3,Farm 103,2600
2020-1-3,Farm 104,2965
2020-1-3,Farm 106,8498
2020-1-3,Farm 107,8450
2020-1-3,Farm 109,3371
2020-1-3,Farm 110,3820
2020-1-3,Farm 111,2616
2020-1-3,Farm 112,17269
2020-1-3,Farm 115,8803
2020-1-3,Farm 116,11334
2020-1-3,Farm 117,3748
2020-1-4,Farm 18,2530
2020-1-4,Farm 19,1916
2020-1-4,Farm 20,11863
2020-1-4,Farm 21,4019
2020-1-4,Farm 22,16581
2020-1-4,Farm 23,10476
2020-1-4,Farm 24,7298
2020-1-4,Farm 25,17565
2020-1-4,Farm 26,17025
2020-1-4,Farm 27,3109
2020-1-4,Farm 28,17612
2020-1-4,Farm 29,9214
2020-1-4,Farm 30,11686
2020-1-4,Farm 31,9716
2020-1-4,Farm 32,2500
2020-1-4,Farm 33,2161
2020-1-4,Farm 34,2999
2020-1-4,Farm 35,16776
2020-1-4,Farm 36,3878
2020-1-4,Farm 37,6697
2020-1-4,Farm 38,17506
2020-1-4,Farm 39,2320
2020-1-4,Farm 40,16095
2020-1-4,Farm 41,18037
2020-1-4,Farm 42,16573
2020-1-4,Farm 43,2926
2020-1-4,Farm 44,8387
2020-1-4,Farm 45,9286
2020-1-4,Farm 46,10047
2020-1-4,Farm 47,10899
2020-1-4,Farm 48,3176
2020-1-4,Farm 49,10617
2020-1-4,Farm 50,17559
2020-1-4,Farm 51,6245
2020-1-4,Farm 52,6792
2020-1-4,Farm 53,10693
2020-1-4,Farm 54,8003
2020-1-4,Farm 55,16895
2020-1-4,Farm 56,10819
2020-1-4,Farm 57,7008
2020-1-4,Farm 58,17703
2020-1-4,Farm 59,17137
2020-1-4,Farm 60,8863
2020-1-4,Farm 61,17418
2020-1-4,Farm 62,9413
2020-1-4,Farm 63,17470
2020-1-4,Farm 64,16932
2020-1-4,Farm 65,5938
2020-1-4,Farm 66,2001
2020-1-4,Farm 67,16891
2020-1-4,Farm 68,10184
2020-1-4,Farm 69,8897
2020-1-4,Farm 70,3395
2020-1-4,Farm 71,11224
2020-1-4,Farm 72,18051
2020-1-4,Farm 73,2717
2020-1-4,Farm 74,6583
2020-1-4,Farm 75,7461
2020-1-4,Farm 76,3787
2020-1-4,Farm 77,10254
2020-1-4,Farm 78,8409
2020-1-4,Farm 79,6222
2020-1-4,Farm 80,8341
2020-1-4,Farm 81,10870
2020-1-4,Farm 82,3177
2020-1-4,Farm 83,7988
2020-1-4,Farm 84,2248
2020-1-4,Farm 85,9569
2020-1-4,Farm 86,2628
2020-1-4,Farm 87,3609
2020-1-4,Farm 88,11735
2020-1-4,Farm 89,3534
2020-1-4,Farm 90,16074
2020-1-4,Farm 91,9110
2020-1-4,Farm 92,3413
2020-1-4,Farm 93,17008
2020-1-4,Farm 94,3406
2020-1-4,Farm 95,6935
2020-1-4,Farm 96,16801
2020-1-4,Farm 97,3580
2020-1-4,Farm 98,16313
2020-1-4,Farm 99,11833
2020-1-4,Farm 100,9039
2020-1-4,Farm 101,7805
2020-1-4,Farm 102,17312
2020-1-4,Farm 103,2608
2020-1-4,Farm 104,2993
2020-1-4,Farm 105,9312
2020-1-4,Farm 106,8682
2020-1-4,Farm 107,8452
2020-1-4,Farm 108,2910
2020-1-4,Farm 109,3503
2020-1-4,Farm 110,3933
2020-1-4,Farm 111,2753
2020-1-4,Farm 112,17378
2020-1-4,Farm 113,17501
2020-1-4,Farm 114,8125
2020-1-4,Farm 115,8495
2020-1-4,Farm 116,11301
2020-1-4,Farm 117,3678
2020-1-5,Farm 18,2483
2020-1-5,Farm 19,2086
2020-1-5,Farm 20,11950
2020-1-5,Farm 21,3974
2020-1-5,Farm 22,16531
2020-1-5,Farm 23,10274
2020-1-5,Farm 25,17543
2020-1-5,Farm 26,17139
2020-1-5,Farm 27,2993
2020-1-5,Farm 28,17526
2020-1-5,Farm 30,11680
2020-1-5,Farm 31,9672
2020-1-5,Farm 32,2413
2020-1-5,Farm 33,2012
2020-1-5,Farm 34,2891
2020-1-5,Farm 35,16789
2020-1-5,Farm 37,6734
2020-1-5,Farm 38,17542
2020-1-5,Farm 39,2307
2020-1-5,Farm 40,16097
2020-1-5,Farm 41,17674
2020-1-5,Farm 42,16311
2020-1-5,Farm 43,2920
2020-1-5,Farm 45,9274
2020-1-5,Farm 46,10117
2020-1-5,Farm 47,10873
2020-1-5,Farm 48,3059
2020-1-5,Farm 50,17404
2020-1-5,Farm 51,6271
2020-1-5,Farm 52,6755
2020-1-5,Farm 53,10535
2020-1-5,Farm 54,8139
2020-1-5,Farm 55,17042
2020-1-5,Farm 57,6955
2020-1-5,Farm 58,17666
2020-1-5,Farm 59,17059
2020-1-5,Farm 60,8814
2020-1-5,Farm 61,17411
2020-1-5,Farm 62,9340
2020-1-5,Farm 63,17176
2020-1-5,Farm 64,16890
2020-1-5,Farm 65,6144
2020-1-5,Farm 67,16979
2020-1-5,Farm 68,10317
2020-1-5,Farm 69,8724
2020-1-5,Farm 70,3386
2020-1-5,Farm 71,11115
2020-1-5,Farm 72,17973
2020-1-5,Farm 73,2705
2020-1-5,Farm 74,6780
2020-1-5,Farm 75,7583
2020-1-5,Farm 76,3793
2020-1-5,Farm 77,10237
2020-1-5,Farm 78,8519
2020-1-5,Farm 80,8407
2020-1-5,Farm 81,10928
2020-1-5,Farm 82,3165
2020-1-5,Farm 83,8235
2020-1-5,Farm 84,2284
2020-1-5,Farm 85,9573
2020-1-5,Farm 86,2604
2020-1-5,Farm 89,3487
2020-1-5,Farm 90,16078
2020-1-5,Farm 91,9020
2020-1-5,Farm 92,3434
2020-1-5,Farm 93,17079
2020-1-5,Farm 94,3407
2020-1-5,Farm 97,3578
2020-1-5,Farm 98,16422
2020-1-5,Farm 99,11741
2020-1-5,Farm 100,9147
2020-1-5,Farm 101,7658
2020-1-5,Farm 102,17359
2020-1-5,Farm 103,2672
2020-1-5,Farm 104,2892
2020-1-5,Farm 106,8606
2020-1-5,Farm 107,8504
2020-1-5,Farm 109,3528
2020-1-5,Farm 110,3772
2020-1-5,Farm 111,2795
2020-1-5,Farm 112,17344
2020-1-5,Farm 115,8662
2020-1-5,Farm 116,11371
2020-1-5,Farm 117,3689
2020-1-6,Farm 18,2412
2020-1-6,Farm 19,2112
2020-1-6,Farm 20,11807
2020-1-6,Farm 21,4047
2020-1-6,Farm 22,16529
2020-1-6,Farm 23,10215
2020-1-6,Farm 24,7457
2020-1-6,Farm 25,17535
2020-1-6,Farm 26,17230
2020-1-6,Farm 27,3143
2020-1-6,Farm 28,17347
2020-1-6,Farm 29,9029
2020-1-6,Farm 30,11710
2020-1-6,Farm 31,9809
2020-1-6,Farm 32,2492
2020-1-6,Farm 33,2048
2020-1-6,Farm 34,3001
2020-1-6,Farm 35,16829
2020-1-6,Farm 36,3905
2020-1-6,Farm 37,6706
2020-1-6,Farm 38,17462
2020-1-6,Farm 39,2276
2020-1-6,Farm 40,16032
2020-1-6,Farm 41,17771
2020-1-6,Farm 42,16381
2020-1-6,Farm 43,3045
2020-1-6,Farm 44,8325
2020-1-6,Farm 45,9283
2020-1-6,Farm 46,9986
2020-1-6,Farm 47,10873
2020-1-6,Farm 48,3168
2020-1-6,Farm 49,10511
2020-1-6,Farm 50,17521
2020-1-6,Farm 51,6296
2020-1-6,Farm 52,6754
2020-1-6,Farm 53,10578
2020-1-6,Farm 54,8083
2020-1-6,Farm 55,16918
2020-1-6,Farm 56,10735
2020-1-6,Farm 57,6865
2020-1-6,Farm 58,17761
2020-1-6,Farm 59,17115
2020-1-6,Farm 60,8897
2020-1-6,Farm 61,17474
2020-1-6,Farm 62,9570
2020-1-6,Farm 63,17224
2020-1-6,Farm 64,16871
2020-1-6,Farm 65,6097
2020-1-6,Farm 66,2009
2020-1-6,Farm 67,17126
2020-1-6,Farm 68,10034
2020-1-6,Farm 69,8917
2020-1-6,Farm 70,3468
2020-1-6,Farm 71,11295
2020-1-6,Farm 72,18111
2020-1-6,Farm 73,2828
2020-1-6,Farm 74,6796
2020-1-6,Farm 75,7642
2020-1-6,Farm 76,3872
2020-1-6,Farm 77,10076
2020-1-6,Farm 78,8388
2020-1-6,Farm 79,6273
2020-1-6,Farm 80,8388
2020-1-6,Farm 81,10818
2020-1-6,Farm 82,3154
2020-1-6,Farm 83,8210
2020-1-6,Farm 84,2271
2020-1-6,Farm 85,9563
2020-1-6,Farm 86,2562
2020-1-6,Farm 87,3571
2020-1-6,Farm 88,11625
2020-1-6,Farm 89,3478
2020-1-6,Farm 90,16092
2020-1-6,Farm 91,9036
2020-1-6,Farm 92,3524
2020-1-6,Farm 93,17065
2020-1-6,Farm 94,3332
2020-1-6,Farm 95,6895
2020-1-6,Farm 96,16801
2020-1-6,Farm 97,3668
2020-1-6,Farm 98,16487
2020-1-6,Farm 99,11936
2020-1-6,Farm 100,8963
2020-1-6,Farm 101,7712
2020-1-6,Farm 102,17214
2020-1-6,Farm 103,2622
2020-1-6,Farm 104,2946
2020-1-6,Farm 105,9296
2020-1-6,Farm 106,8510
2020-1-6,Farm 107,8528
2020-1-6,Farm 108,2884
2020-1-6,Farm 109,3477
2020-1-6,Farm 110,3829
2020-1-6,Farm 111,2702
2020-1-6,Farm 112,17337
2020-1-6,Farm 113,17441
2020-1-6,Farm 114,8078
2020-1-6,Farm 115,8684
2020-1-6,Farm 116,11336
2020-1-6,Farm 117,3704
2020-1-7,Farm 18,2330
2020-1-7,Farm 19,1925
2020-1-7,Farm 20,11962
2020-1-7,Farm 21,3939
2020-1-7,Farm 22,16552
2020-1-7,Farm 23,10411
2020-1-7,Farm 25,17545
2020-1-7,Farm 26,17087
2020-1-7,Farm 27,3097
2020-1-7,Farm 28,17557
2020-1-7,Farm 30,11650
2020-1-7,Farm 31,9729
2020-1-7,Farm 32,2424
2020-1-7,Farm 33,2020
2020-1-7,Farm 34,3100
2020-1-7,Farm 35,16728
2020-1-7,Farm 37,6612
2020-1-7,Farm 38,17503
2020-1-7,Farm 39,2370
2020-1-7,Farm 40,16202
2020-1-7,Farm 41,17811
2020-1-7,Farm 42,16365
2020-1-7,Farm 43,3052
2020-1-7,Farm 45,9224
2020-1-7,Farm 46,10021
2020-1-7,Farm 47,10856
2020-1-7,Farm 48,3115
2020-1-7,Farm 50,17486
2020-1-7,Farm 51,6124
2020-1-7,Farm 52,6689
2020-1-7,Farm 53,10663
2020-1-7,Farm 54,8069
2020-1-7,Farm 55,16980
2020-1-7,Farm 57,6869
2020-1-7,Farm 58,17694
2020-1-7,Farm 59,16984
2020-1-7,Farm 60,8897
2020-1-7,Farm 61,17452
2020-1-7,Farm 62,9435
2020-1-7,Farm 63,17202
2020-1-7,Farm 64,16930
2020-1-7,Farm 65,6123
2020-1-7,Farm 67,17025
2020-1-7,Farm 68,10282
2020-1-7,Farm 69,9096
2020-1-7,Farm 70,3452
2020-1-7,Farm 71,11201
2020-1-7,Farm 72,18014
2020-1-7,Farm 73,2595
2020-1-7,Farm 74,6761
2020-1-7,Farm 75,7555
2020-1-7,Farm 76,3884
2020-1-7,Farm 77,10277
2020-1-7,Farm 78,8406
2020-1-7,Farm 80,8545
2020-1-7,Farm 81,10785
2020-1-7,Farm 82,3138
2020-1-7,Farm 83,8028
2020-1-7,Farm 84,2175
2020-1-7,Farm 85,9587
2020-1-7,Farm 86,2452
2020-1-7,Farm 89,3566
2020-1-7,Farm 90,16193
2020-1-7,Farm 91,9119
2020-1-7,Farm 92,3390
2020-1-7,Farm 93,16866
2020-1-7,Farm 94,3383
2020-1-7,Farm 97,3622
2020-1-7,Farm 98,16570
2020-1-7,Farm 99,11793
2020-1-7,Farm 100,9058
2020-1-7,Farm 101,7655
2020-1-7,Farm 102,17151
2020-1-7,Farm 103,2636
2020-1-7,Farm 104,2847
2020-1-7,Farm 106,8550
2020-1-7,Farm 107,8584
2020-1-7,Farm 109,3678
2020-1-7,Farm 110,3822
2020-1-7,Farm 111,2684
2020-1-7,Farm 112,17349
2020-1-7,Farm 115,8557
2020-1-7,Farm 116,11337
2020-1-7,Farm 117,3956
2020-1-8,Farm 18,2397
2020-1-8,Farm 19,2060
2020-1-8,Farm 20,11902
2020-1-8,Farm 21,4024
2020-1-8,Farm 22,16696
2020-1-8,Farm 23,10393
2020-1-8,Farm 24,7369
2020-1-8,Farm 25,17424
2020-1-8,Farm 26,16976
2020-1-8,Farm 27,3028
2020-1-8,Farm 28,17520
2020-1-8,Farm 29,8860
2020-1-8,Farm 30,11659
2020-1-8,Farm 31,9838
2020-1-8,Farm 32,2575
2020-1-8,Farm 33,1954
2020-1-8,Farm 34,2855
2020-1-8,Farm 35,16598
2020-1-8,Farm 36,4027
2020-1-8,Farm 37,6691
2020-1-8,Farm 38,17534
2020-1-8,Farm 39,2272
2020-1-8,Farm 40,16084
2020-1-8,Farm 41,17823
2020-1-8,Farm 42,16380
2020-1-8,Farm 43,2940
2020-1-8,Farm 44,8401
2020-1-8,Farm 45,9211
2020-1-8,Farm 46,9995
2020-1-8,Farm 47,11001
2020-1-8,Farm 48,3185
2020-1-8,Farm 49,10572
2020-1-8,Farm 50,17649
2020-1-8,Farm 51,6274
2020-1-8,Farm 52,6549
2020-1-8,Farm 53,10609
2020-1-8,Farm 54,8107
2020-1-8,Farm 55,16984
2020-1-8,Farm 56,10758
2020-1-8,Farm 57,6982
2020-1-8,Farm 58,17607
2020-1-8,Farm 59,16911
2020-1-8,Farm 60,8969
2020-1-8,Farm 61,17458
2020-1-8,Farm 62,9495
2020-1-8,Farm 63,17182
2020-1-8,Farm 64,16775
2020-1-8,Farm 65,5995
2020-1-8,Farm 66,2213
2020-1-8,Farm 67,17032
2020-1-8,Farm 68,10161
2020-1-8,Farm 69,8834
2020-1-8,Farm 70,3474
2020-1-8,Farm 71,11417
2020-1-8,Farm 72,17920
2020-1-8,Farm 73,2847
2020-1-8,Farm 74,6716
2020-1-8,Farm 75,7644
2020-1-8,Farm 76,3786
2020-1-8,Farm 77,10380
2020-1-8,Farm 78,8442
2020-1-8,Farm 79,6294
2020-1-8,Farm 80,8445
2020-1-8,Farm 81,10951
2020-1-8,Farm 82,3051
2020-1-8,Farm 83,8111
2020-1-8,Farm 84,2193
2020-1-8,Farm 85,9553
2020-1-8,Farm 86,2508
2020-1-8,Farm 87,3655
2020-1-8,Farm 88,11780
2020-1-8,Farm 89,3558
2020-1-8,Farm 90,16062
2020-1-8,Farm 91,9016
2020-1-8,Farm 92,3630
2020-1-8,Farm 93,16969
2020-1-8,Farm 94,3439
2020-1-8,Farm 95,6920
2020-1-8,Farm 96,16729
2020-1-8,Farm 97,3632
2020-1-8,Farm 98,16779
2020-1-8,Farm 99,11847
2020-1-8,Farm 100,9063
2020-1-8,Farm 101,7763
2020-1-8,Farm 102,17353
2020-1-8,Farm 103,2602
2020-1-8,Farm 104,3053
2020-1-8,Farm 105,9354
2020-1-8,Farm 106,8517
2020-1-8,Farm 107,8426
2020-1-8,Farm 108,2721
2020-1-8,Farm 109,3451
2020-1-8,Farm 110,3716
2020-1-8,Farm 111,2683
2020-1-8,Farm 112,17357
2020-1-8,Farm 113,17496
2020-1-8,Farm 114,8148
2020-1-8,Farm 115,8715
2020-1-8,Farm 116,11407
2020-1-8,Farm 117,3633
2020-1-9,Farm 18,2530
2020-1-9,Farm 19,2077
2020-1-9,Farm 20,11735
2020-1-9,Farm 21,3890
2020-1-9,Farm 22,16532
2020-1-9,Farm 23,10317
2020-1-9,Farm 25,17575
2020-1-9,Farm 26,17114
2020-1-9,Farm 27,3050
2020-1-9,Farm 28,17430
2020-1-9,Farm 30,11610
2020-1-9,Farm 31,9865
2020-1-9,Farm 32,2412
2020-1-9,Farm 33,2111
2020-1-9,Farm 34,3037
2020-1-9,Farm 35,16768
2020-1-9,Farm 37,6831
2020-1-9,Farm 38,17552
2020-1-9,Farm 39,2311
2020-1-9,Farm 40,16124
2020-1-9,Farm 41,17859
2020-1-9,Farm 42,16439
2020-1-9,Farm 43,2844
2020-1-9,Farm 45,9267
2020-1-9,Farm 46,9874
2020-1-9,Farm 47,11016
2020-1-9,Farm 48,3140
2020-1-9,Farm 50,17509
2020-1-9,Farm 51,6434
2020-1-9,Farm 52,6654
2020-1-9,Farm 53,10592
2020-1-9,Farm 54,7939
2020-1-9,Farm 55,16851
2020-1-9,Farm 57,6920
2020-1-9,Farm 58,17786
2020-1-9,Farm 59,17104
2020-1-9,Farm 60,8882
2020-1-9,Farm 61,17443
2020-1-9,Farm 62,9471
2020-1-9,Farm 63,17141
2020-1-9,Farm 64,16961
2020-1-9,Farm 65,6152
2020-1-9,Farm 67,17024
2020-1-9,Farm 68,10122
2020-1-9,Farm 69,8917
2020-1-9,Farm 70,3509
2020-1-9,Farm 71,11246
2020-1-9,Farm 72,17935
2020-1-9,Farm 73,2788
2020-1-9,Farm 74,6652
2020-1-9,Farm 75,7600
2020-1-9,Farm 76,3783
2020-1-9,Farm 77,10018
2020-1-9,Farm 78,8530
2020-1-9,Farm 80,8453
2020-1-9,Farm 81,10856
2020-1-9,Farm 82,3141
2020-1-9,Farm 83,8193
2020-1-9,Farm 84,2077
2020-1-9,Farm 85,9490
2020-1-9,Farm 86,2704
2020-1-9,Farm 89,3457
2020-1-9,Farm 90,16169
2020-1-9,Farm 91,9033
2020-1-9,Farm 92,3456
2020-1-9,Farm 93,17061
2020-1-9,Farm 94,3347
2020-1-9,Farm 97,3596
2020-1-9,Farm 98,16548
2020-1-9,Farm 99,11928
2020-1-9,Farm 100,9158
2020-1-9,Farm 101,7709
2020-1-9,Farm 102,17279
2020-1-9,Farm 103,2471
2020-1-9,Farm 104,3005
2020-1-9,Farm 106,8651
2020-1-9,Farm 107,8445
2020-1-9,Farm 109,3467
2020-1-9,Farm 110,3840
2020-1-9,Farm 111,2704
2020-1-9,Farm 112,17294
2020-1-9,Farm 115,8696
2020-1-9,Farm 116,11195
2020-1-9,Farm 117,3696
2020-1-10,Farm 18,2352
2020-1-10,Farm 19,2053
2020-1-10,Farm 20,11860
2020-1-10,Farm 21,3899
2020-1-10,Farm 22,16503
2020-1-10,Farm 23,10306
2020-1-10,Farm 24,7288
2020-1-10,Farm 25,17623
2020-1-10,Farm 26,17154
2020-1-10,Farm 27,3147
2020-1-10,Farm 28,17548
2020-1-10,Farm 29,9024
2020-1-10,Farm 30,11731
2020-1-10,Farm 31,9949
2020-1-10,Farm 32,2475
2020-1-10,Farm 33,1992
2020-1-10,Farm 34,3034
2020-1-10,Farm 35,16717
2020-1-10,Farm 36,3990
2020-1-10,Farm 37,6685
2020-1-10,Farm 38,17603
2020-1-10,Farm 39,2144
2020-1-10,Farm 40,16152
2020-1-10,Farm 41,17794
2020-1-10,Farm 42,16406
2020-1-10,Farm 43,2926
2020-1-10,Farm 44,8525
2020-1-10,Farm 45,9301
2020-1-10,Farm 46,10017
2020-1-10,Farm 47,10848
2020-1-10,Farm 48,3134
2020-1-10,Farm 49,10430
2020-1-10,Farm 50,17477
2020-1-10,Farm 51,6193
2020-1-10,Farm 52,6729
2020-1-10,Farm 53,10661
2020-1-10,Farm 54,8069
2020-1-10,Farm 55,16915
2020-1-10,Farm 56,10581
2020-1-10,Farm 57,6908
2020-1-10,Farm 58,17551
2020-1-10,Farm 59,16979
2020-1-10,Farm 60,8807
2020-1-10,Farm 61,17441
2020-1-10,Farm 62,9379
2020-1-10,Farm 63,17221
2020-1-10,Farm 64,16989
2020-1-10,Farm 65,6149
2020-1-10,Farm 66,2157
2020-1-10,Farm 67,16926
2020-1-10,Farm 68,10073
2020-1-10,Farm 69,8859
2020-1-10,Farm 70,3473
